pl_name,pl_rade,pl_bmasse
"Kepler-11 e",,
"Kepler-1193 b",,
"Kepler-161 c",,3.61000000
"Kepler-267 d",2.31000000,
"Kepler-633 c",2.45000000,
"Kepler-545 b",2.47000000,
"Kepler-1682 b",2.54000000,
"Kepler-325 c",2.97000000,
"Kepler-1189 b",,
"Kepler-813 b",4.23000000,
"Kepler-1800 b",1.59000000,
"Kepler-1166 b",1.94000000,
"Kepler-1760 b",1.83000000,
"Kepler-397 c",6.01000000,
"HD 75289 b",,146.20180000
"Kepler-326 b",3.03000000,44.60000000
"Kepler-353 c",1.80000000,
"Kepler-549 b",2.50100000,
"Kepler-377 c",1.58000000,
"Kepler-975 b",3.97000000,
"Kepler-9 b",8.85000000,2175.00000000
"Kepler-292 f",2.57000000,
"Kepler-187 b",1.45000000,
"Kepler-610 c",2.63000000,
"Kepler-1213 b",1.29000000,
"OGLE-2012-BLG-0358L b",,588.00000000
"Kepler-1328 b",1.34200000,
"Kepler-1938 b",,
"Kepler-30 c",12.15900000,
"Kepler-1069 b",2.02000000,
"Kepler-1362 b",,
"Kepler-501 b",4.59000000,
"Kepler-1793 b",2.91000000,
"Kepler-612 b",4.36700000,
"HD 12648 b",,921.70700000
"KOI-3503 c",1.21000000,10.36000000
"CoRoT-7 b",1.68000000,21.00000000
"EPIC 212587672 b",1.12000000,
"Kepler-62 d",2.12200000,
"Kepler-938 b",,
"Kepler-118 c",,
"Kepler-1722 b",,
"Kepler-1578 b",1.24000000,
"HD 47536 b",,2330.00000000
"Kepler-1669 d",1.14000000,
"K2-220 b",2.62000000,
"Kepler-229 c",4.87900000,
"Kepler-206 d",0.96700000,
"Kepler-1352 b",0.81000000,
"Kepler-1760 b",,
"KOI-1599.02",1.90000000,
"Kepler-226 d",,
"Kepler-1467 b",,
"Kepler-1303 b",1.25000000,
"Kepler-919 b",1.93000000,
"Kepler-1790 b",,
"Kepler-139 c",,13.00000000
"Kepler-62 f",1.53100000,
"HD 72659 b",,1223.64550000
"Kepler-910 b",0.80000000,
"Kepler-951 b",,
"NN Ser c",,2196.11000000
"HD 72659 b",,949.67128012
"KOI-984 c",,209.80000000
"Kepler-1568 b",1.29400000,
"HD 111232 b",,2637.97577810
"Kepler-636 b",3.58000000,
"Kepler-296 c",1.38000000,
"Kepler-1150 b",2.41000000,
"Kepler-1747 b",4.11000000,
"Kepler-656 b",3.69000000,
"Kepler-1161 b",1.93000000,
"Kepler-1696 b",,
"Kepler-464 b",3.30000000,
"Kepler-1301 b",1.35000000,
"Kepler-1576 b",,
"HD 74156 c",,2541.57900000
"Kepler-342 e",0.88000000,
"Kepler-585 b",2.54000000,
"Kepler-176 c",,
"Kepler-1987 e",1.58000000,
"Kepler-1466 b",,
"Kepler-1083 b",3.22100000,
"OGLE-2018-BLG-0799L b",,120.77479466
"Kepler-742 b",,
"Kepler-901 b",1.21000000,
"Kepler-416 c",,
"Kepler-398 b",,
"Kepler-263 c",2.18000000,
"Kepler-1093 b",,
"Kepler-520 b",1.66000000,
"Kepler-271 b",0.89000000,
"Kepler-1197 b",1.15000000,
"Kepler-213 b",,
"Kepler-1312 b",1.80000000,
"Kepler-1965 b",1.06000000,
"Kepler-79 c",,
"K2-75 c",2.31000000,
"Kepler-1152 b",1.07000000,
"Kepler-186 c",1.26000000,
"Kepler-1327 b",1.77600000,
"Kepler-368 c",1.42000000,
"Kepler-1381 b",2.41000000,
"Kepler-595 c",,3.06000000
"Kepler-1653 b",,
"Kepler-1634 b",,
"Kepler-369 b",1.60000000,
"Kepler-374 d",1.31000000,
"Kepler-633 c",,
"Kepler-687 b",,
"Kepler-1292 b",1.82000000,
"Kepler-357 d",2.20000000,
"Kepler-107 c",1.86000000,
"Kepler-1229 b",1.66000000,
"Kepler-463 b",4.95000000,
"Kepler-149 d",4.28000000,
"Kepler-430 b",2.64700000,
"Kepler-759 b",2.40000000,
"Kepler-415 c",2.62000000,
"Kepler-634 b",2.06000000,
"GJ 3138 c",,4.18000000
"KMT-2022-BLG-0303L b",,163.04597279
"Kepler-149 c",2.66000000,
"Kepler-944 b",2.42000000,
"Kepler-48 b",,
"Kepler-237 c",2.22100000,
"Kepler-271 b",,
"HD 2039 b",,1557.30000000
"Kepler-223 d",5.24000000,8.00000000
"Kepler-1316 b",3.39000000,
"Kepler-211 c",,
"Kepler-1747 b",3.70000000,
"Kepler-989 b",,
"Kepler-1368 b",,
"Kepler-1417 b",,
"Kepler-1050 b",1.51000000,
"Kepler-1669 c",1.81000000,
"Kepler-165 b",2.04200000,
"Kepler-324 b",,
"KOI-3503 c",0.80000000,
"Kepler-1341 b",,
"Kepler-107 c",,
"Kepler-1455 b",1.93000000,
"Kepler-290 c",,
"Kepler-1448 b",1.73000000,
"Kepler-186 c",1.14000000,
"Kepler-172 c",,
"HD 8574 b",,670.62130000
"Kepler-80 e",1.60000000,
"HD 47366 b",,731.00900000
"Kepler-935 b",1.55000000,
"Kepler-1366 b",1.43000000,
"Kepler-169 e",,
"Kepler-431 c",0.92000000,
"HIP 948 b",,6547.26518420
"Kepler-1853 b",,
"Kepler-1092 b",,
"Kepler-178 d",2.99000000,
"Kepler-1356 b",1.45000000,
"Kepler-317 c",1.60900000,
"Kepler-20 b",,
"Kepler-176 c",2.56000000,23.00000000
"Kepler-639 b",2.80600000,
"Kepler-326 b",1.25000000,
"Kepler-404 b",,
"Kepler-946 b",,
"NGTS-34 b",3.65000000,19.10000000
"KMT-2024-BLG-1005L b",,6674.39654700
"HD 72659 b",,1013.87261833
